category	subcategory	pathway
Metabolism	Global and overview maps	01100 Metabolic pathways
Metabolism	Global and overview maps	01110 Biosynthesis of secondary metabolites
Metabolism	Global and overview maps	01120 Microbial metabolism in diverse environments
Metabolism	Global and overview maps	01200 Carbon metabolism
Metabolism	Global and overview maps	01210 2-Oxocarboxylic acid metabolism
Metabolism	Global and overview maps	01212 Fatty acid metabolism
Metabolism	Global and overview maps	01230 Biosynthesis of amino acids
Metabolism	Global and overview maps	01232 Nucleotide metabolism
Metabolism	Global and overview maps	01250 Biosynthesis of nucleotide sugars
Metabolism	Global and overview maps	01240 Biosynthesis of cofactors
Metabolism	Global and overview maps	01220 Degradation of aromatic compounds
Metabolism	Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis
Metabolism	Carbohydrate metabolism	00020 Citrate cycle (TCA cycle)
Metabolism	Carbohydrate metabolism	00030 Pentose phosphate pathway
Metabolism	Carbohydrate metabolism	00040 Pentose and glucuronate interconversions
Metabolism	Carbohydrate metabolism	00051 Fructose and mannose metabolism
Metabolism	Carbohydrate metabolism	00052 Galactose metabolism
Metabolism	Carbohydrate metabolism	00053 Ascorbate and aldarate metabolism
Metabolism	Carbohydrate metabolism	00500 Starch and sucrose metabolism
Metabolism	Carbohydrate metabolism	00520 Amino sugar and nucleotide sugar metabolism
Metabolism	Carbohydrate metabolism	00620 Pyruvate metabolism
Metabolism	Carbohydrate metabolism	00630 Glyoxylate and dicarboxylate metabolism
Metabolism	Carbohydrate metabolism	00640 Propanoate metabolism
Metabolism	Carbohydrate metabolism	00650 Butanoate metabolism
Metabolism	Carbohydrate metabolism	00660 C5-Branched dibasic acid metabolism
Metabolism	Carbohydrate metabolism	00562 Inositol phosphate metabolism
Metabolism	Energy metabolism	00190 Oxidative phosphorylation
Metabolism	Energy metabolism	00195 Photosynthesis
Metabolism	Energy metabolism	00196 Photosynthesis - antenna proteins
Metabolism	Energy metabolism	00710 Carbon fixation in photosynthetic organisms
Metabolism	Energy metabolism	00720 Carbon fixation pathways in prokaryotes
Metabolism	Energy metabolism	00680 Methane metabolism
Metabolism	Energy metabolism	00910 Nitrogen metabolism
Metabolism	Energy metabolism	00920 Sulfur metabolism
Metabolism	Lipid metabolism	00061 Fatty acid biosynthesis
Metabolism	Lipid metabolism	00062 Fatty acid elongation
Metabolism	Lipid metabolism	00071 Fatty acid degradation
Metabolism	Lipid metabolism	00073 Cutin, suberine and wax biosynthesis
Metabolism	Lipid metabolism	00100 Steroid biosynthesis
Metabolism	Lipid metabolism	00120 Primary bile acid biosynthesis
Metabolism	Lipid metabolism	00121 Secondary bile acid biosynthesis
Metabolism	Lipid metabolism	00140 Steroid hormone biosynthesis
Metabolism	Lipid metabolism	00561 Glycerolipid metabolism
Metabolism	Lipid metabolism	00564 Glycerophospholipid metabolism
Metabolism	Lipid metabolism	00565 Ether lipid metabolism
Metabolism	Lipid metabolism	00600 Sphingolipid metabolism
Metabolism	Lipid metabolism	00590 Arachidonic acid metabolism
Metabolism	Lipid metabolism	00591 Linoleic acid metabolism
Metabolism	Lipid metabolism	00592 alpha-Linolenic acid metabolism
Metabolism	Lipid metabolism	01040 Biosynthesis of unsaturated fatty acids
Metabolism	Nucleotide metabolism	00230 Purine metabolism
Metabolism	Nucleotide metabolism	00240 Pyrimidine metabolism
Metabolism	Amino acid metabolism	00250 Alanine, aspartate and glutamate metabolism
Metabolism	Amino acid metabolism	00260 Glycine, serine and threonine metabolism
Metabolism	Amino acid metabolism	00270 Cysteine and methionine metabolism
Metabolism	Amino acid metabolism	00280 Valine, leucine and isoleucine degradation
Metabolism	Amino acid metabolism	00290 Valine, leucine and isoleucine biosynthesis
Metabolism	Amino acid metabolism	00300 Lysine biosynthesis
Metabolism	Amino acid metabolism	00310 Lysine degradation
Metabolism	Amino acid metabolism	00220 Arginine biosynthesis
Metabolism	Amino acid metabolism	00330 Arginine and proline metabolism
Metabolism	Amino acid metabolism	00340 Histidine metabolism
Metabolism	Amino acid metabolism	00350 Tyrosine metabolism
Metabolism	Amino acid metabolism	00360 Phenylalanine metabolism
Metabolism	Amino acid metabolism	00380 Tryptophan metabolism
Metabolism	Amino acid metabolism	00400 Phenylalanine, tyrosine and tryptophan biosynthesis
Metabolism	Metabolism of other amino acids	00410 beta-Alanine metabolism
Metabolism	Metabolism of other amino acids	00430 Taurine and hypotaurine metabolism
Metabolism	Metabolism of other amino acids	00440 Phosphonate and phosphinate metabolism
Metabolism	Metabolism of other amino acids	00450 Selenocompound metabolism
Metabolism	Metabolism of other amino acids	00460 Cyanoamino acid metabolism
Metabolism	Metabolism of other amino acids	00470 D-Amino acid metabolism
Metabolism	Metabolism of other amino acids	00480 Glutathione metabolism
Metabolism	Glycan biosynthesis and metabolism	00510 N-Glycan biosynthesis
Metabolism	Glycan biosynthesis and metabolism	00513 Various types of N-glycan biosynthesis
Metabolism	Glycan biosynthesis and metabolism	00512 Mucin type O-glycan biosynthesis
Metabolism	Glycan biosynthesis and metabolism	00515 Mannose type O-glycan biosynthesis
Metabolism	Glycan biosynthesis and metabolism	00514 Other types of O-glycan biosynthesis
Metabolism	Glycan biosynthesis and metabolism	00532 Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate
Metabolism	Glycan biosynthesis and metabolism	00534 Glycosaminoglycan biosynthesis - heparan sulfate / heparin
Metabolism	Glycan biosynthesis and metabolism	00533 Glycosaminoglycan biosynthesis - keratan sulfate
Metabolism	Glycan biosynthesis and metabolism	00531 Glycosaminoglycan degradation
Metabolism	Glycan biosynthesis and metabolism	00563 Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
Metabolism	Glycan biosynthesis and metabolism	00601 Glycosphingolipid biosynthesis - lacto and neolacto series
Metabolism	Glycan biosynthesis and metabolism	00603 Glycosphingolipid biosynthesis - globo and isoglobo series
Metabolism	Glycan biosynthesis and metabolism	00604 Glycosphingolipid biosynthesis - ganglio series
Metabolism	Glycan biosynthesis and metabolism	00511 Other glycan degradation
Metabolism	Glycan biosynthesis and metabolism	00540 Lipopolysaccharide biosynthesis
Metabolism	Glycan biosynthesis and metabolism	00542 O-Antigen repeat unit biosynthesis
Metabolism	Glycan biosynthesis and metabolism	00541 O-Antigen nucleotide sugar biosynthesis
Metabolism	Glycan biosynthesis and metabolism	00550 Peptidoglycan biosynthesis
Metabolism	Glycan biosynthesis and metabolism	00552 Teichoic acid biosynthesis
Metabolism	Glycan biosynthesis and metabolism	00571 Lipoarabinomannan (LAM) biosynthesis
Metabolism	Glycan biosynthesis and metabolism	00572 Arabinogalactan biosynthesis - Mycobacterium
Metabolism	Glycan biosynthesis and metabolism	00543 Exopolysaccharide biosynthesis
Metabolism	Metabolism of cofactors and vitamins	00730 Thiamine metabolism
Metabolism	Metabolism of cofactors and vitamins	00740 Riboflavin metabolism
Metabolism	Metabolism of cofactors and vitamins	00750 Vitamin B6 metabolism
Metabolism	Metabolism of cofactors and vitamins	00760 Nicotinate and nicotinamide metabolism
Metabolism	Metabolism of cofactors and vitamins	00770 Pantothenate and CoA biosynthesis
Metabolism	Metabolism of cofactors and vitamins	00780 Biotin metabolism
Metabolism	Metabolism of cofactors and vitamins	00785 Lipoic acid metabolism
Metabolism	Metabolism of cofactors and vitamins	00790 Folate biosynthesis
Metabolism	Metabolism of cofactors and vitamins	00670 One carbon pool by folate
Metabolism	Metabolism of cofactors and vitamins	00830 Retinol metabolism
Metabolism	Metabolism of cofactors and vitamins	00860 Porphyrin metabolism
Metabolism	Metabolism of cofactors and vitamins	00130 Ubiquinone and other terpenoid-quinone biosynthesis
Metabolism	Metabolism of terpenoids and polyketides	00900 Terpenoid backbone biosynthesis
Metabolism	Metabolism of terpenoids and polyketides	00902 Monoterpenoid biosynthesis
Metabolism	Metabolism of terpenoids and polyketides	00909 Sesquiterpenoid and triterpenoid biosynthesis
Metabolism	Metabolism of terpenoids and polyketides	00904 Diterpenoid biosynthesis
Metabolism	Metabolism of terpenoids and polyketides	00906 Carotenoid biosynthesis
Metabolism	Metabolism of terpenoids and polyketides	00905 Brassinosteroid biosynthesis
Metabolism	Metabolism of terpenoids and polyketides	00981 Insect hormone biosynthesis
Metabolism	Metabolism of terpenoids and polyketides	00908 Zeatin biosynthesis
Metabolism	Metabolism of terpenoids and polyketides	00903 Limonene and pinene degradation
Metabolism	Metabolism of terpenoids and polyketides	00281 Geraniol degradation
Metabolism	Metabolism of terpenoids and polyketides	01052 Type I polyketide structures
Metabolism	Metabolism of terpenoids and polyketides	00522 Biosynthesis of 12-, 14- and 16-membered macrolides
Metabolism	Metabolism of terpenoids and polyketides	01051 Biosynthesis of ansamycins
Metabolism	Metabolism of terpenoids and polyketides	01059 Biosynthesis of enediyne antibiotics
Metabolism	Metabolism of terpenoids and polyketides	01056 Biosynthesis of type II polyketide backbone
Metabolism	Metabolism of terpenoids and polyketides	01057 Biosynthesis of type II polyketide products
Metabolism	Metabolism of terpenoids and polyketides	00253 Tetracycline biosynthesis
Metabolism	Metabolism of terpenoids and polyketides	00523 Polyketide sugar unit biosynthesis
Metabolism	Metabolism of terpenoids and polyketides	01054 Nonribosomal peptide structures
Metabolism	Metabolism of terpenoids and polyketides	01053 Biosynthesis of siderophore group nonribosomal peptides
Metabolism	Metabolism of terpenoids and polyketides	01055 Biosynthesis of vancomycin group antibiotics
Metabolism	Biosynthesis of other secondary metabolites	00940 Phenylpropanoid biosynthesis
Metabolism	Biosynthesis of other secondary metabolites	00945 Stilbenoid, diarylheptanoid and gingerol biosynthesis
Metabolism	Biosynthesis of other secondary metabolites	00941 Flavonoid biosynthesis
Metabolism	Biosynthesis of other secondary metabolites	00944 Flavone and flavonol biosynthesis
Metabolism	Biosynthesis of other secondary metabolites	00942 Anthocyanin biosynthesis
Metabolism	Biosynthesis of other secondary metabolites	00943 Isoflavonoid biosynthesis
Metabolism	Biosynthesis of other secondary metabolites	00901 Indole alkaloid biosynthesis
Metabolism	Biosynthesis of other secondary metabolites	00403 Indole diterpene alkaloid biosynthesis
Metabolism	Biosynthesis of other secondary metabolites	00950 Isoquinoline alkaloid biosynthesis
Metabolism	Biosynthesis of other secondary metabolites	00960 Tropane, piperidine and pyridine alkaloid biosynthesis
Metabolism	Biosynthesis of other secondary metabolites	00996 Biosynthesis of various alkaloids
Metabolism	Biosynthesis of other secondary metabolites	00232 Caffeine metabolism
Metabolism	Biosynthesis of other secondary metabolites	00965 Betalain biosynthesis
Metabolism	Biosynthesis of other secondary metabolites	00966 Glucosinolate biosynthesis
Metabolism	Biosynthesis of other secondary metabolites	00402 Benzoxazinoid biosynthesis
Metabolism	Biosynthesis of other secondary metabolites	00311 Penicillin and cephalosporin biosynthesis
Metabolism	Biosynthesis of other secondary metabolites	00332 Carbapenem biosynthesis
Metabolism	Biosynthesis of other secondary metabolites	00261 Monobactam biosynthesis
Metabolism	Biosynthesis of other secondary metabolites	00331 Clavulanic acid biosynthesis
Metabolism	Biosynthesis of other secondary metabolites	00521 Streptomycin biosynthesis
Metabolism	Biosynthesis of other secondary metabolites	00524 Neomycin, kanamycin and gentamicin biosynthesis
Metabolism	Biosynthesis of other secondary metabolites	00525 Acarbose and validamycin biosynthesis
Metabolism	Biosynthesis of other secondary metabolites	00401 Novobiocin biosynthesis
Metabolism	Biosynthesis of other secondary metabolites	00404 Staurosporine biosynthesis
Metabolism	Biosynthesis of other secondary metabolites	00405 Phenazine biosynthesis
Metabolism	Biosynthesis of other secondary metabolites	00333 Prodigiosin biosynthesis
Metabolism	Biosynthesis of other secondary metabolites	00254 Aflatoxin biosynthesis
Metabolism	Biosynthesis of other secondary metabolites	00998 Biosynthesis of various antibiotics
Metabolism	Biosynthesis of other secondary metabolites	00999 Biosynthesis of various plant secondary metabolites
Metabolism	Biosynthesis of other secondary metabolites	00997 Biosynthesis of various other secondary metabolites
Metabolism	Xenobiotics biodegradation and metabolism	00362 Benzoate degradation
Metabolism	Xenobiotics biodegradation and metabolism	00627 Aminobenzoate degradation
Metabolism	Xenobiotics biodegradation and metabolism	00364 Fluorobenzoate degradation
Metabolism	Xenobiotics biodegradation and metabolism	00625 Chloroalkane and chloroalkene degradation
Metabolism	Xenobiotics biodegradation and metabolism	00361 Chlorocyclohexane and chlorobenzene degradation
Metabolism	Xenobiotics biodegradation and metabolism	00623 Toluene degradation
Metabolism	Xenobiotics biodegradation and metabolism	00622 Xylene degradation
Metabolism	Xenobiotics biodegradation and metabolism	00633 Nitrotoluene degradation
Metabolism	Xenobiotics biodegradation and metabolism	00642 Ethylbenzene degradation
Metabolism	Xenobiotics biodegradation and metabolism	00643 Styrene degradation
Metabolism	Xenobiotics biodegradation and metabolism	00791 Atrazine degradation
Metabolism	Xenobiotics biodegradation and metabolism	00930 Caprolactam degradation
Metabolism	Xenobiotics biodegradation and metabolism	00363 Bisphenol degradation
Metabolism	Xenobiotics biodegradation and metabolism	00621 Dioxin degradation
Metabolism	Xenobiotics biodegradation and metabolism	00626 Naphthalene degradation
Metabolism	Xenobiotics biodegradation and metabolism	00624 Polycyclic aromatic hydrocarbon degradation
Metabolism	Xenobiotics biodegradation and metabolism	00365 Furfural degradation
Metabolism	Xenobiotics biodegradation and metabolism	00984 Steroid degradation
Metabolism	Xenobiotics biodegradation and metabolism	00980 Metabolism of xenobiotics by cytochrome P450
Metabolism	Xenobiotics biodegradation and metabolism	00982 Drug metabolism - cytochrome P450
Metabolism	Xenobiotics biodegradation and metabolism	00983 Drug metabolism - other enzymes
Metabolism	Chemical structure transformation maps	01010 Overview of biosynthetic pathways
Metabolism	Chemical structure transformation maps	01060 Biosynthesis of plant secondary metabolites
Metabolism	Chemical structure transformation maps	01061 Biosynthesis of phenylpropanoids
Metabolism	Chemical structure transformation maps	01062 Biosynthesis of terpenoids and steroids
Metabolism	Chemical structure transformation maps	01063 Biosynthesis of alkaloids derived from shikimate pathway
Metabolism	Chemical structure transformation maps	01064 Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid
Metabolism	Chemical structure transformation maps	01065 Biosynthesis of alkaloids derived from histidine and purine
Metabolism	Chemical structure transformation maps	01066 Biosynthesis of alkaloids derived from terpenoid and polyketide
Metabolism	Chemical structure transformation maps	01070 Biosynthesis of plant hormones
Genetic Information Processing	Transcription	03020 RNA polymerase
Genetic Information Processing	Transcription	03022 Basal transcription factors
Genetic Information Processing	Transcription	03040 Spliceosome
Genetic Information Processing	Translation	03010 Ribosome
Genetic Information Processing	Translation	00970 Aminoacyl-tRNA biosynthesis
Genetic Information Processing	Translation	03013 Nucleocytoplasmic transport
Genetic Information Processing	Translation	03015 mRNA surveillance pathway
Genetic Information Processing	Translation	03008 Ribosome biogenesis in eukaryotes
Genetic Information Processing	Folding, sorting and degradation	03060 Protein export
Genetic Information Processing	Folding, sorting and degradation	04141 Protein processing in endoplasmic reticulum
Genetic Information Processing	Folding, sorting and degradation	04130 SNARE interactions in vesicular transport
Genetic Information Processing	Folding, sorting and degradation	04120 Ubiquitin mediated proteolysis
Genetic Information Processing	Folding, sorting and degradation	04122 Sulfur relay system
Genetic Information Processing	Folding, sorting and degradation	03050 Proteasome
Genetic Information Processing	Folding, sorting and degradation	03018 RNA degradation
Genetic Information Processing	Replication and repair	03030 DNA replication
Genetic Information Processing	Replication and repair	03410 Base excision repair
Genetic Information Processing	Replication and repair	03420 Nucleotide excision repair
Genetic Information Processing	Replication and repair	03430 Mismatch repair
Genetic Information Processing	Replication and repair	03440 Homologous recombination
Genetic Information Processing	Replication and repair	03450 Non-homologous end-joining
Genetic Information Processing	Replication and repair	03460 Fanconi anemia pathway
Genetic Information Processing	Information processing in viruses	03230 Viral genome structure
Genetic Information Processing	Information processing in viruses	03240 Viral replication
Genetic Information Processing	Information processing in viruses	03250 Viral life cycle - HIV-1
Environmental Information Processing	Membrane transport	02010 ABC transporters
Environmental Information Processing	Membrane transport	02060 Phosphotransferase system (PTS)
Environmental Information Processing	Membrane transport	03070 Bacterial secretion system
Environmental Information Processing	Signal transduction	02020 Two-component system
Environmental Information Processing	Signal transduction	04010 MAPK signaling pathway
Environmental Information Processing	Signal transduction	04013 MAPK signaling pathway - fly
Environmental Information Processing	Signal transduction	04016 MAPK signaling pathway - plant
Environmental Information Processing	Signal transduction	04011 MAPK signaling pathway - yeast
Environmental Information Processing	Signal transduction	04012 ErbB signaling pathway
Environmental Information Processing	Signal transduction	04014 Ras signaling pathway
Environmental Information Processing	Signal transduction	04015 Rap1 signaling pathway
Environmental Information Processing	Signal transduction	04310 Wnt signaling pathway
Environmental Information Processing	Signal transduction	04330 Notch signaling pathway
Environmental Information Processing	Signal transduction	04340 Hedgehog signaling pathway
Environmental Information Processing	Signal transduction	04341 Hedgehog signaling pathway - fly
Environmental Information Processing	Signal transduction	04350 TGF-beta signaling pathway
Environmental Information Processing	Signal transduction	04390 Hippo signaling pathway
Environmental Information Processing	Signal transduction	04391 Hippo signaling pathway - fly
Environmental Information Processing	Signal transduction	04392 Hippo signaling pathway - multiple species
Environmental Information Processing	Signal transduction	04370 VEGF signaling pathway
Environmental Information Processing	Signal transduction	04371 Apelin signaling pathway
Environmental Information Processing	Signal transduction	04630 JAK-STAT signaling pathway
Environmental Information Processing	Signal transduction	04064 NF-kappa B signaling pathway
Environmental Information Processing	Signal transduction	04668 TNF signaling pathway
Environmental Information Processing	Signal transduction	04066 HIF-1 signaling pathway
Environmental Information Processing	Signal transduction	04068 FoxO signaling pathway
Environmental Information Processing	Signal transduction	04020 Calcium signaling pathway
Environmental Information Processing	Signal transduction	04070 Phosphatidylinositol signaling system
Environmental Information Processing	Signal transduction	04072 Phospholipase D signaling pathway
Environmental Information Processing	Signal transduction	04071 Sphingolipid signaling pathway
Environmental Information Processing	Signal transduction	04024 cAMP signaling pathway
Environmental Information Processing	Signal transduction	04022 cGMP-PKG signaling pathway
Environmental Information Processing	Signal transduction	04151 PI3K-Akt signaling pathway
Environmental Information Processing	Signal transduction	04152 AMPK signaling pathway
Environmental Information Processing	Signal transduction	04150 mTOR signaling pathway
Environmental Information Processing	Signal transduction	04075 Plant hormone signal transduction
Environmental Information Processing	Signaling molecules and interaction	04080 Neuroactive ligand-receptor interaction
Environmental Information Processing	Signaling molecules and interaction	04060 Cytokine-cytokine receptor interaction
Environmental Information Processing	Signaling molecules and interaction	04061 Viral protein interaction with cytokine and cytokine receptor
Environmental Information Processing	Signaling molecules and interaction	04512 ECM-receptor interaction
Environmental Information Processing	Signaling molecules and interaction	04514 Cell adhesion molecules
Cellular Processes	Transport and catabolism	04144 Endocytosis
Cellular Processes	Transport and catabolism	04145 Phagosome
Cellular Processes	Transport and catabolism	04142 Lysosome
Cellular Processes	Transport and catabolism	04146 Peroxisome
Cellular Processes	Transport and catabolism	04140 Autophagy - animal
Cellular Processes	Transport and catabolism	04138 Autophagy - yeast
Cellular Processes	Transport and catabolism	04136 Autophagy - other
